ID,Year,Season,ID AND SEASON,August BODY WEIGHT,November BODY WEIGHT,August NO STEP VERTICAL,November NO STEP VERTICAL,August VERTICAL WATTS,November VERTICAL WATTS,August CLEAN,November CLEAN, August BENCH,November BENCH,August LIFT TOTAL,November LIFT TOTAL,August POUND 4 POUND,November POUND 4 POUND,August SQUAT,November SQUAT,Games Played,Games Started,Goals Scored,Assists,Goals + Assists,Shots,Shot% ,Goals while up,Goals while down,Ground Balls,Turnovers,Caused Turnovers
101,2015,2016,1012016,174,177,28.5,29,5917.45,6062.37,230,230,235,240,825,830,4.74,4.69,360,360,6,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
101,2016,2017,1012017,187,185,27,29.5,5947.22,6287.44,265,270,255,255,890,905,4.76,4.89,370,380,5,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,2 ,2 ,2 
101,2017,2018,1012018,187,186,28,28.5,6113.73,6162.04,255,255,265,260,905,900,4.84,4.84,385,385,5,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,0 ,0 
101,2018,2019,1012019,184,182,26.5,30.5,5818.74,6392.29,285,285,235,265,905,935,4.92,5.14,385,385,2,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
102,2018,2019,1022019,200,212,27.5,27.5,6293.56,6531.98,255,255,295,300,935,940,4.68,4.43,385,385,12,0 ,7 ,0 ,7 ,25 ,.280 ,3 ,0 ,5 ,7 ,1 
103,2018,2019,1032019,213,206,25,28.5,6181.47,6579.28,215,215,205,195,740,730,3.47,3.54,320,320,5,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,1 ,1 ,0 
104,2017,2018,1042018,151,162,23.5,24,4671.8,4974.95,185,185,165,175,630,640,4.17,3.95,280,280,3,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
104,2018,2019,1042019,163,165,24,24.5,4989.34,5103.43,185,185,185,190,650,655,3.99,3.97,280,280,1,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
106,2016,2017,1062017,177,178,28.5,28.5,5968.84,6005.93,220,220,205,220,745,760,4.21,4.27,320,320,4,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
106,2017,2018,1062018,180,183,27.5,28,5876.32,6031.51,225,235,225,240,760,835,4.22,4.56,310,360,3,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
106,2018,2019,1062019,182,186,26,26.5,5694.38,5859.85,250,250,245,250,805,810,4.42,4.35,310,310,4,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
107,2018,2019,1072019,183,182,28.5,26.5,6092.16,5765.3,250,250,285,290,910,915,4.97,5.03,375,375,2,0 ,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 
109,2018,2019,1092019,158,169,27,28,5345,5741.71,195,195,190,205,630,645,3.99,3.82,245,245,11,0 ,0 ,1 ,1 ,5 ,.000 ,0 ,0 ,1 ,1 ,0 
